Generating the reference point cloud
Model name: screwdriver_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'screwdriver_body', 'screwdriver_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('screwdriver_body', 'screwdriver_small'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.7071, Shape Error: 0.7054, Size Error: 0.6806, Ratio Error: 0.6421
Matches: [('screwdriver_body', 'wooden_screw'), ('screwdriver_head', 'fries')], Total Error: 1.7095, Shape Error: 0.7476, Size Error: 0.6445, Ratio Error: 0.6350
Matches: [('screwdriver_body', 'wood_short_midPoint'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.7100, Shape Error: 0.8252, Size Error: 0.4945, Ratio Error: 0.7805
Matches: [('screwdriver_body', 'beans_tin'), ('screwdriver_head', 'wood_long_endPoint')], Total Error: 1.7107, Shape Error: 0.7407, Size Error: 0.5023, Ratio Error: 0.9353
Matches: [('screwdriver_body', 'screwdriver_large'), ('screwdriver_head', 'pliers')], Total Error: 1.7148, Shape Error: 0.5136, Size Error: 0.6753, Ratio Error: 1.0518
Matches: [('screwdriver_body', 'plastic_handle'), ('screwdriver_head', 'tongs')], Total Error: 1.7151, Shape Error: 0.6814, Size Error: 0.6393, Ratio Error: 0.7887
Matches: [('screwdriver_body', 'plastic_wahl_clippers'), ('screwdriver_head', 'drill_bit')], Total Error: 1.7186, Shape Error: 0.3131, Size Error: 0.7819, Ratio Error: 1.2471
Matches: [('screwdriver_body', 'yellow_foam'), ('screwdriver_head', 'screwdriver_large')], Total Error: 1.7196, Shape Error: 0.6605, Size Error: 0.5971, Ratio Error: 0.9240
Matches: [('screwdriver_body', 'fries'), ('screwdriver_head', 'drill_bit')], Total Error: 1.7204, Shape Error: 0.8021, Size Error: 0.4713, Ratio Error: 0.8938
Matches: [('screwdriver_body', 'hotdog'), ('screwdriver_head', 'tongs')], Total Error: 1.7208, Shape Error: 0.7781, Size Error: 0.6044, Ratio Error: 0.6766
Matches: [('screwdriver_body', 'wood_long_endPoint'), ('screwdriver_head', 'screwdriver_small')], Total Error: 1.7212, Shape Error: 0.7216, Size Error: 0.5787, Ratio Error: 0.8418
Matches: [('screwdriver_body', 'wood_long_endPoint'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.7224, Shape Error: 0.5326, Size Error: 0.6498, Ratio Error: 1.0800
Matches: [('screwdriver_body', 'tongs'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.7225, Shape Error: 1.0202, Size Error: 0.5429, Ratio Error: 0.3188
Matches: [('screwdriver_body', 'plastic_clip'), ('screwdriver_head', 'drill_bit')], Total Error: 1.7251, Shape Error: 0.8572, Size Error: 0.4583, Ratio Error: 0.8193
Matches: [('screwdriver_body', 'wood_foam'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.7309, Shape Error: 0.6608, Size Error: 0.6318, Ratio Error: 0.8766
